crop_name,season,region,year,area_hectares,rainfall_mm,temperature_celsius,fertilizer_amount_kg,actual_yield_kg
maize,meher,Afar,2019,5.28,509.3,12.6,148.1,14242.5
teff,meher,Oromia,2018,5.04,1203.0,24.0,143.2,9599.5
sesame,meher,Tigray,2024,5.92,1604.0,29.0,31.9,5454.9
sorghum,belg,Oromia,2016,7.91,838.5,18.6,52.9,17479.3
teff,belg,Sidama,2016,19.48,867.8,23.8,165.9,30890.9
sorghum,meher,Oromia,2018,15.57,1777.8,31.4,173.3,35483.0
sesame,belg,Tigray,2020,3.67,832.9,26.8,140.4,3581.1
wheat,meher,Amhara,2022,7.9,1784.3,26.0,111.4,22795.9
coffee,meher,Amhara,2015,16.2,901.7,11.7,182.6,16957.4
sorghum,belg,Tigray,2022,3.29,509.4,28.6,107.8,6115.2
sesame,belg,SNNPR,2018,19.95,507.5,22.3,151.2,19857.7
wheat,belg,Sidama,2016,8.0,1193.8,21.7,50.3,20159.4
teff,meher,Afar,2023,15.14,1452.9,18.5,58.7,28240.8
barley,meher,Sidama,2016,17.48,747.7,26.0,121.8,35691.1
wheat,belg,Amhara,2023,19.09,1683.7,33.0,119.8,51792.5
coffee,belg,Amhara,2015,5.2,1151.0,12.0,146.4,6557.7
maize,meher,Amhara,2022,18.96,547.7,23.2,121.3,84571.8
sorghum,belg,Tigray,2020,9.04,1076.4,13.0,44.9,17489.1
coffee,meher,Sidama,2023,4.99,630.3,11.8,126.2,5156.2
coffee,meher,Sidama,2018,5.93,1028.1,23.5,144.7,9613.2
chickpea,meher,Tigray,2021,4.21,445.4,20.8,84.7,3750.9
maize,meher,Tigray,2020,16.11,463.9,14.8,107.3,54538.6
wheat,belg,Amhara,2019,9.52,1611.7,11.9,161.6,29303.8
teff,meher,Amhara,2017,8.43,1022.0,31.6,180.5,15306.6
wheat,belg,Oromia,2021,5.67,1476.1,21.4,84.6,22749.8
chickpea,meher,Amhara,2019,4.75,387.7,28.4,12.2,3448.9
coffee,meher,Oromia,2024,9.8,1679.1,23.3,11.4,9774.3
maize,meher,Afar,2018,8.37,1712.4,24.2,115.8,31599.9
teff,meher,Tigray,2024,11.52,774.6,16.5,133.9,19269.6
wheat,belg,Tigray,2020,18.62,1703.6,10.2,124.2,58748.4
maize,meher,Sidama,2018,10.36,498.7,18.7,13.8,31894.3
chickpea,belg,Sidama,2023,0.65,1525.7,17.5,132.7,1163.2
wheat,belg,Oromia,2016,14.98,533.2,17.0,42.1,30274.3
barley,belg,SNNPR,2015,2.3,935.4,16.9,0.7,4883.0
wheat,belg,Amhara,2022,11.26,941.5,10.2,15.0,32602.7
teff,belg,Sidama,2023,3.39,491.2,17.7,179.8,4864.9
teff,belg,Amhara,2018,13.51,830.5,24.0,174.9,30921.3
sorghum,meher,Amhara,2021,0.98,1404.8,18.3,186.2,2518.8
sorghum,belg,Amhara,2016,7.96,358.1,21.8,39.9,17213.8
sorghum,meher,Oromia,2018,8.27,717.9,11.7,154.7,17060.8
coffee,belg,Afar,2023,6.96,341.4,31.9,52.2,2506.9
teff,meher,Sidama,2021,7.24,1479.6,20.9,196.8,14006.3
maize,belg,Sidama,2018,5.47,1363.2,10.0,185.1,16218.5
sorghum,belg,Tigray,2016,19.0,1681.2,25.6,132.7,47800.1
maize,belg,Sidama,2019,13.5,789.3,27.4,110.9,49215.9
sesame,meher,Sidama,2024,6.37,1121.9,10.0,57.4,5970.5
sesame,belg,Tigray,2022,9.12,620.6,21.8,180.2,9977.3
maize,belg,Sidama,2024,7.04,1527.6,28.8,134.6,24252.6
sorghum,meher,Amhara,2015,1.4,1775.9,25.3,153.7,2973.8
sorghum,belg,Tigray,2021,5.26,1284.1,10.1,150.2,13484.2
maize,belg,Amhara,2017,16.18,1343.9,21.6,111.5,63140.5
